word,reading_hiragana,old_meaning_ko,new_meaning_ko
つぶらな,つぶらな,동그랗고 귀여운,동그란
てきぱきと,てきぱきと,척척 시원스럽게,척척
てっきり,てっきり,틀림없이 그런 줄로,틀림없이
はかない,はかない,덧없다 허무하다,덧없다
はなはだしい,はなはだしい,심하다 매우 지나치다,심하다
ひしひし,ひしひし,절실히 뼈저리게,절실히
ひんやり,ひんやり,서늘하게 차갑게,서늘하게
びっしょり,びっしょり,흠뻑 젖은,흠뻑
ふらふら,ふらふら,비틀비틀 휘청휘청,비틀비틀
ぶらぶら,ぶらぶら,빈둥빈둥 어슬렁어슬렁,빈둥빈둥
ぺこぺこ,ぺこぺこ,배가 몹시 고픈 모양,배고픔
ぼつぼつ,ぼつぼつ,슬슬 조금씩,슬슬
ぼろぼろ,ぼろぼろ,너덜너덜 엉망진창,너덜너덜
まごまご,まごまご,허둥지둥 우물쭈물,허둥지둥
まちまち,まちまち,제각각 가지각색,제각각
まるっきり,まるっきり,완전히 전혀,완전히
まるまる,まるまる,통째로 전부,통째로
まん丸い,まんまるい,동그랗다 완전히 둥글다,동그랗다
みすぼらしい,みすぼらしい,초라하다 볼품없다,초라하다
めいめい,めいめい,각자 제각기,각자
めきめき,めきめき,눈에 띄게 빠르게,눈에 띄게
やまやま,やまやま,간절히 매우,간절히
ややこしい,ややこしい,복잡하다 까다롭다,복잡하다
やり遂げる,やりとげる,완수하다 해내다,완수하다
やんわり,やんわり,부드럽게 완곡하게,부드럽게
ろくな,ろくな,변변한 제대로 된,변변한
一身上,いっしんじょう,신상 개인 사정,개인 사정
不評な,ふひょうな,평판이 나쁜,평판 나쁨
不順な,ふじゅんな,순조롭지 못한,순조롭지 않음
久しい,ひさしい,오래되다 오래간만이다,오래되다
乗り出す,のりだす,나서다 착수하다 몸을 내밀다,나서다
乗り過ごす,のりすごす,내릴 곳을 지나치다,지나치다
仕上がる、,しあがる,완성되다 마무리되다,완성되다
仕立てる,したてる,만들어 내다 재단하다 꾸미다,만들어 내다
住み慣れる,すみなれる,살아서 익숙해지다,익숙해지다
使いこなす,つかいこなす,능숙하게 다루다,활용하다
依然,いぜん,여전히 이전과 같이,여전히
偏在,へんざい,편재 치우쳐 존재함,편재
働きかける,はたらきかける,작용하다 설득하다,작용하다
凄まじい,すさまじい,굉장하다 무시무시하다,굉장하다
几帳面な,きちょうめんな,꼼꼼한 빈틈없는,꼼꼼한
切り出す,きりだす,말을 꺼내다 잘라내다,말을 꺼내다
切り抜ける,きりぬける,헤쳐 나가다 빠져나가다,헤쳐 나가다
半端な,はんぱな,어중간한 불완전한,어중간한
卑しい,いやしい,천하다 비열하다,천하다
厳かな,おごそかな,엄숙한 장엄한,엄숙한
収支,しゅうし,수지 수입과 지출,수지
取り付ける,とりつける,설치하다 달다,설치하다
取り寄せる,とりよせる,주문해서 들여오다,주문하다
取り戻す,とりもどす,되찾다 회복하다,되찾다
取り扱う,とりあつかう,취급하다 다루다,취급하다
取り次ぐ,とりつぐ,전달하다 중개하다,전달하다
取り立てる,とりたてる,징수하다 특별히 다루다,징수하다
取り組む,とりくむ,몰두하다 착수하다,몰두하다
受け持つ,うけもつ,맡다 담당하다,맡다
受け止める,うけとめる,받아들이다 받아내다,받아들이다
受け流す,うけながす,받아넘기다 흘려듣다,받아넘기다
受け継ぐ,うけつぐ,이어받다 계승하다,이어받다
同士,どうし,동료 같은 부류,동료
名実,めいじつ,명실 실제와 이름,명실
名手,めいしゅ,명수 뛰어난 사람,명수
呼びかける,よびかける,호소하다 말을 걸다,호소하다
呼び起こす,よびおこす,불러일으키다 환기하다,불러일으키다
和やかな,なごやかな,온화한 화기애애한,온화한
堅実な,けんじつな,견실한 착실한,견실한
売名,ばいめい,매명 이름을 팔려 함,매명
夥しい,おびただしい,엄청나다 매우 많다,엄청나다
大らかな,おおらかな,너그러운 대범한,너그러운
大幅な,おおはばな,대폭의 큰 폭의,대폭의
大当たり,おおあたり,대성공 큰 당첨,대성공
大柄,おおがら,큰 체격 큰 무늬,큰 체격
大柄な,おおがらな,큰 체격의 큰 무늬의,큰 체격
好悪,こうお,호오 좋고 싫음,호오
好機,こうき,호기 좋은 기회,호기
密かな,ひそかな,은밀한 조용한,은밀한
尊い・貴い,とうとい,존귀하다 귀중하다,존귀하다
巧みな,たくみな,교묘한 능숙한,교묘한
差し出す,さしだす,내밀다 제출하다,내밀다
平たい,ひらたい,평평하다 쉬운 표현이다,평평하다
引き上げる,ひきあげる,끌어올리다 인상하다 철수하다,끌어올리다
引き下げる,ひきさげる,끌어내리다 인하하다,끌어내리다
引き取る,ひきとる,인수하다 데려가다 물러나다,인수하다
引き止める,ひきとめる,만류하다 붙잡다,만류하다
引き継ぐ,ひきつぐ,이어받다 인계하다,이어받다
引き落とす,ひきおとす,자동 이체하다 끌어내리다,자동 이체하다
引き起こす,ひきおこす,일으키다 초래하다,일으키다
思い悩む,おもいなやむ,고민하다 괴로워하다,고민하다
思い立つ,おもいたつ,마음먹다 결심하다,마음먹다
思い詰める,おもいつめる,골똘히 생각하다 몰아붙이다,고민하다
思い込む,おもいこむ,굳게 믿다 단정하다,굳게 믿다
思い返す,おもいかえす,다시 생각하다 되돌아보다,다시 생각하다
情け深い,なさけぶかい,인정이 많다 자비롭다,인정 많다
想像上,そうぞうじょう,상상상 상상 속,상상 속
愛顧,あいこ,애고 단골로 아껴 줌,애고
成り立つ,なりたつ,성립되다 이루어지다,성립되다
手がける,てがける,손수 다루다 맡다,손수 다루다
手近な,てぢかな,가까운 손쉬운,가까운
手際,てぎわ,솜씨 처리 능력,솜씨
打ち切る,うちきる,중지하다 끝내다,중지하다
打ち明ける,うちあける,털어놓다 고백하다,털어놓다
打ち込む,うちこむ,몰두하다 박아 넣다,몰두하다
抱え込む,かかえこむ,떠안다 끌어안다,떠안다
押し寄せる,おしよせる,밀려오다 몰려오다,밀려오다
押し込む,おしこむ,밀어 넣다 강제로 들어가다,밀어 넣다
欲深い,よくぶかい,욕심이 많다,욕심 많다
汚らわしい,けがらわしい,더럽다 불결하다,더럽다
浅ましい,あさましい,비열하다 한심하다,비열하다
渋い,しぶい,떫다 수수하다,떫다
物好きな,ものずきな,호기심 많은 별난,호기심 많은
物足りない,ものたりない,부족하다 아쉽다,부족하다
生易しい,なまやさしい,쉬운 안이한,쉬운
生温い,なまぬるい,미지근하다 어중간하다,미지근하다
生真面目な,きまじめな,고지식한 지나치게 성실한,고지식한
生臭い,なまぐさい,비린내가 나다 속세적이다,비린내 나다
盛り上がる,もりあがる,고조되다 부풀어 오르다,고조되다
穏やかな,おだやかな,온화한 평온한,온화한
粋な,いきな,세련된 멋진,세련된
組み合わせる,くみあわせる,조합하다 맞추다,조합하다
組み込む,くみこむ,짜 넣다 포함시키다,짜 넣다
緩やかな,ゆるやかな,완만한 느슨한,완만한
臆病な,おくびょうな,겁이 많은,겁이 많다
荒っぽい,あらっぽい,거칠다 난폭하다,거칠다
華奢な,きゃしゃな,화사하고 가냘픈,가냘픈
落ち合う,おちあう,만나다 합류하다,만나다
落ち込む,おちこむ,풀이 죽다 빠지다,풀이 죽다
著しい,いちじるしい,현저하다 두드러지다,현저하다
虚ろな,うつろな,공허한 멍한,공허한
行きそびれる,いきそびれる,갈 기회를 놓치다,놓치다
見かける,みかける,눈에 띄다 보게 되다,눈에 띄다
見合わせる,みあわせる,보류하다 서로 마주 보다,보류하다
見失う,みうしなう,놓치다 잃어버리다,놓치다
見当たる,みあたる,발견되다 눈에 띄다,발견되다
見直す,みなおす,다시 보다 재검토하다,다시 보다
見習う,みならう,본받다 배우다,본받다
見落とす,みおとす,못 보고 지나치다,놓치다
見送る,みおくる,배웅하다 보류하다,배웅하다
見逃す,みのがす,못 보고 넘기다 놓치다,놓치다
見違える,みちがえる,몰라볼 정도로 달라지다,몰라보다
言い張る,いいはる,우겨 말하다 주장하다,우겨 말하다
言い渡す,いいわたす,선고하다 통고하다,선고하다
言い通す,いいとおす,끝까지 주장하다,주장하다
読み上げる,よみあげる,소리 내어 읽다 낭독하다,낭독하다
踏み切る,ふみきる,결단하다 과감히 실행하다,결단하다
踏み込む,ふみこむ,발을 들이다 깊이 들어가다,발을 들이다
身近な,みぢかな,가까운 친근한,가까운
軽症,けいしょう,경상 가벼운 증상,경상
辿り着く,たどりつく,간신히 도착하다,도착하다
追い返す,おいかえす,돌려보내다 쫓아 돌려보내다,돌려보내다
遥かな,はるかな,아득한 먼,아득한
食い止める,くいとめる,저지하다 막다,저지하다
食い違う,くいちがう,엇갈리다 맞지 않다,엇갈리다
食べそびれる,たべそびれる,먹을 기회를 놓치다,놓치다
飲み込む,のみこむ,삼키다 이해하다,삼키다
馬鹿馬鹿しい,ばかばかしい,어리석다 터무니없다,어리석다
馴れ馴れしい,なれなれしい,스스럼없다 지나치게 친한 척하다,스스럼없다
鮮やかな,あざやかな,선명한 훌륭한,선명한
