word,example_jp,example_ko,source
一掃,この問題を理解するには、一掃という観点から考えることが重要だ。,이 문제를 이해하려면 일소이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
一環,この問題を理解するには、一環という観点から考えることが重要だ。,이 문제를 이해하려면 일환이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
万能,この問題を理解するには、万能という観点から考えることが重要だ。,이 문제를 이해하려면 만능이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
上位,この問題を理解するには、上位という観点から考えることが重要だ。,이 문제를 이해하려면 상위이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
上昇,この問題を理解するには、上昇という観点から考えることが重要だ。,이 문제를 이해하려면 상승이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
上演,この問題を理解するには、上演という観点から考えることが重要だ。,이 문제를 이해하려면 상연이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
上空,この問題を理解するには、上空という観点から考えることが重要だ。,이 문제를 이해하려면 상공이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
不備,この問題を理解するには、不備という観点から考えることが重要だ。,이 문제를 이해하려면 미비이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
不動産,この問題を理解するには、不動産という観点から考えることが重要だ。,이 문제를 이해하려면 부동산이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
不可欠,この問題を理解するには、不可欠という観点から考えることが重要だ。,이 문제를 이해하려면 불가결이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
不在,この問題を理解するには、不在という観点から考えることが重要だ。,이 문제를 이해하려면 부재이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
不審な,その説明は不審なものではなく、追加の根拠を示す必要があった。,그 설명은 수상한 것이 아니어서 추가 근거를 제시할 필요가 있었다.,generated_n1_auto_complete_20260601
不当な,その説明は不当なものではなく、追加の根拠を示す必要があった。,그 설명은 부당한 것이 아니어서 추가 근거를 제시할 필요가 있었다.,generated_n1_auto_complete_20260601
不景気,この問題を理解するには、不景気という観点から考えることが重要だ。,이 문제를 이해하려면 불경기이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
不服,この問題を理解するには、不服という観点から考えることが重要だ。,이 문제를 이해하려면 불복이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
不況,この問題を理解するには、不況という観点から考えることが重要だ。,이 문제를 이해하려면 불황이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
不興,この問題を理解するには、不興という観点から考えることが重要だ。,이 문제를 이해하려면 불쾌함 노여움이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
不良な,その説明は不良なものではなく、追加の根拠を示す必要があった。,그 설명은 불량한 것이 아니어서 추가 근거를 제시할 필요가 있었다.,generated_n1_auto_complete_20260601
不評な,その説明は不評なものではなく、追加の根拠を示す必要があった。,그 설명은 평판이 나쁜 것이 아니어서 추가 근거를 제시할 필요가 있었다.,generated_n1_auto_complete_20260601
不調な,その説明は不調なものではなく、追加の根拠を示す必要があった。,그 설명은 부진한 것이 아니어서 추가 근거를 제시할 필요가 있었다.,generated_n1_auto_complete_20260601
不順な,その説明は不順なものではなく、追加の根拠を示す必要があった。,그 설명은 순조롭지 못한 것이 아니어서 추가 근거를 제시할 필요가 있었다.,generated_n1_auto_complete_20260601
世代,この問題を理解するには、世代という観点から考えることが重要だ。,이 문제를 이해하려면 세대이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
世論,この問題を理解するには、世論という観点から考えることが重要だ。,이 문제를 이해하려면 여론이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
丘陵,この問題を理解するには、丘陵という観点から考えることが重要だ。,이 문제를 이해하려면 구릉이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
両極,この問題を理解するには、両極という観点から考えることが重要だ。,이 문제를 이해하려면 양극이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
並列,この問題を理解するには、並列という観点から考えることが重要だ。,이 문제를 이해하려면 병렬이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
並行,この問題を理解するには、並行という観点から考えることが重要だ。,이 문제를 이해하려면 병행이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
中傷,この問題を理解するには、中傷という観点から考えることが重要だ。,이 문제를 이해하려면 중상 비방이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
中和,この問題を理解するには、中和という観点から考えることが重要だ。,이 문제를 이해하려면 중화이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
中断,この問題を理解するには、中断という観点から考えることが重要だ。,이 문제를 이해하려면 중단이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
中枢,この問題を理解するには、中枢という観点から考えることが重要だ。,이 문제를 이해하려면 중추이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
中立,この問題を理解するには、中立という観点から考えることが重要だ。,이 문제를 이해하려면 중립이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
中継,この問題を理解するには、中継という観点から考えることが重要だ。,이 문제를 이해하려면 중계이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
主体,この問題を理解するには、主体という観点から考えることが重要だ。,이 문제를 이해하려면 주체이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
主催,この問題を理解するには、主催という観点から考えることが重要だ。,이 문제를 이해하려면 주최이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
主導,この問題を理解するには、主導という観点から考えることが重要だ。,이 문제를 이해하려면 주도이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
主導権,この問題を理解するには、主導権という観点から考えることが重要だ。,이 문제를 이해하려면 주도권이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
主権,この問題を理解するには、主権という観点から考えることが重要だ。,이 문제를 이해하려면 주권이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
主演,この問題を理解するには、主演という観点から考えることが重要だ。,이 문제를 이해하려면 주연이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
主題,この問題を理解するには、主題という観点から考えることが重要だ。,이 문제를 이해하려면 주제이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
主食,この問題を理解するには、主食という観点から考えることが重要だ。,이 문제를 이해하려면 주식이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
久しい,状況が久しい場合でも、感情に流されず冷静に判断しなければならない。,상황이 오래되다 오래간만이다 경우에도 감정에 휩쓸리지 말고 냉정하게 판단해야 한다.,generated_n1_auto_complete_20260601
乗り出す,状況によっては、早めに乗り出す判断も必要になる。,상황에 따라서는 일찍 나서다 착수하다 몸을 내밀다 판단도 필요해진다.,generated_n1_auto_complete_20260601
乗り過ごす,状況によっては、早めに乗り過ごす判断も必要になる。,상황에 따라서는 일찍 내릴 곳을 지나치다 판단도 필요해진다.,generated_n1_auto_complete_20260601
乱れる,状況によっては、早めに乱れる判断も必要になる。,상황에 따라서는 일찍 흐트러지다 판단도 필요해진다.,generated_n1_auto_complete_20260601
了承,この問題を理解するには、了承という観点から考えることが重要だ。,이 문제를 이해하려면 양해이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
予想外,この問題を理解するには、予想外という観点から考えることが重要だ。,이 문제를 이해하려면 예상 밖이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
予断,この問題を理解するには、予断という観点から考えることが重要だ。,이 문제를 이해하려면 예단이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
予算外,この問題を理解するには、予算外という観点から考えることが重要だ。,이 문제를 이해하려면 예산 외이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
事前,この問題を理解するには、事前という観点から考えることが重要だ。,이 문제를 이해하려면 사전이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
事業団,この問題を理解するには、事業団という観点から考えることが重要だ。,이 문제를 이해하려면 사업단이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
交わす,状況によっては、早めに交わす判断も必要になる。,상황에 따라서는 일찍 주고받다 판단도 필요해진다.,generated_n1_auto_complete_20260601
交易,この問題を理解するには、交易という観点から考えることが重要だ。,이 문제를 이해하려면 교역이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
交替,この問題を理解するには、交替という観点から考えることが重要だ。,이 문제를 이해하려면 교대이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
交通費,この問題を理解するには、交通費という観点から考えることが重要だ。,이 문제를 이해하려면 교통비이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
交錯,この問題を理解するには、交錯という観点から考えることが重要だ。,이 문제를 이해하려면 뒤얽힘이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
享受,この問題を理解するには、享受という観点から考えることが重要だ。,이 문제를 이해하려면 향유이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
人件費,この問題を理解するには、人件費という観点から考えることが重要だ。,이 문제를 이해하려면 인건비이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
人体,この問題を理解するには、人体という観点から考えることが重要だ。,이 문제를 이해하려면 인체이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
人材,この問題を理解するには、人材という観点から考えることが重要だ。,이 문제를 이해하려면 인재이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
人柄,この問題を理解するには、人柄という観点から考えることが重要だ。,이 문제를 이해하려면 인품이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
人民,この問題を理解するには、人民という観点から考えることが重要だ。,이 문제를 이해하려면 인민이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
人脈,この問題を理解するには、人脈という観点から考えることが重要だ。,이 문제를 이해하려면 인맥이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
介入,この問題を理解するには、介入という観点から考えることが重要だ。,이 문제를 이해하려면 개입이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
仕上がる、,この問題を理解するには、仕上がる、という観点から考えることが重要だ。,이 문제를 이해하려면 완성되다 마무리되다이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
仕業,この問題を理解するには、仕業という観点から考えることが重要だ。,이 문제를 이해하려면 소행이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
仕立てる,状況によっては、早めに仕立てる判断も必要になる。,상황에 따라서는 일찍 만들어 내다 재단하다 꾸미다 판단도 필요해진다.,generated_n1_auto_complete_20260601
他動詞,この問題を理解するには、他動詞という観点から考えることが重要だ。,이 문제를 이해하려면 타동사이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
他方,この問題を理解するには、他方という観点から考えることが重要だ。,이 문제를 이해하려면 다른 한편이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
代わる代わる,状況によっては、早めに代わる代わる判断も必要になる。,상황에 따라서는 일찍 번갈아 판단도 필요해진다.,generated_n1_auto_complete_20260601
代弁,この問題を理解するには、代弁という観点から考えることが重要だ。,이 문제를 이해하려면 대변이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
代用,この問題を理解するには、代用という観点から考えることが重要だ。,이 문제를 이해하려면 대용이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
仮免許,この問題を理解するには、仮免許という観点から考えることが重要だ。,이 문제를 이해하려면 임시 면허이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
仮契約,この問題を理解するには、仮契約という観点から考えることが重要だ。,이 문제를 이해하려면 가계약이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
仮採用,この問題を理解するには、仮採用という観点から考えることが重要だ。,이 문제를 이해하려면 임시 채용이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
任務,この問題を理解するには、任務という観点から考えることが重要だ。,이 문제를 이해하려면 임무이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
任命,この問題を理解するには、任命という観点から考えることが重要だ。,이 문제를 이해하려면 임명이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
企画,この問題を理解するには、企画という観点から考えることが重要だ。,이 문제를 이해하려면 기획이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
会心,この問題を理解するには、会心という観点から考えることが重要だ。,이 문제를 이해하려면 회심이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
伝来,この問題を理解するには、伝来という観点から考えることが重要だ。,이 문제를 이해하려면 전래이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
伝達,この問題を理解するには、伝達という観点から考えることが重要だ。,이 문제를 이해하려면 전달이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
伴奏,この問題を理解するには、伴奏という観点から考えることが重要だ。,이 문제를 이해하려면 반주이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
住み慣れる,状況によっては、早めに住み慣れる判断も必要になる。,상황에 따라서는 일찍 살아서 익숙해지다 판단도 필요해진다.,generated_n1_auto_complete_20260601
体格,この問題を理解するには、体格という観点から考えることが重要だ。,이 문제를 이해하려면 체격이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
体験,この問題を理解するには、体験という観点から考えることが重要だ。,이 문제를 이해하려면 체험이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
余暇,この問題を理解するには、余暇という観点から考えることが重要だ。,이 문제를 이해하려면 여가이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
作動,この問題を理解するには、作動という観点から考えることが重要だ。,이 문제를 이해하려면 작동이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
作戦,この問題を理解するには、作戦という観点から考えることが重要だ。,이 문제를 이해하려면 작전이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
作用,この問題を理解するには、作用という観点から考えることが重要だ。,이 문제를 이해하려면 작용이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
使い分ける,状況によっては、早めに使い分ける判断も必要になる。,상황에 따라서는 일찍 구분해서 쓰다 판단도 필요해진다.,generated_n1_auto_complete_20260601
使用人,この問題を理解するには、使用人という観点から考えることが重要だ。,이 문제를 이해하려면 사용인이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
依存,この問題を理解するには、依存という観点から考えることが重要だ。,이 문제를 이해하려면 의존이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
侵す,状況によっては、早めに侵す判断も必要になる。,상황에 따라서는 일찍 침범하다 판단도 필요해진다.,generated_n1_auto_complete_20260601
侵入,この問題を理解するには、侵入という観点から考えることが重要だ。,이 문제를 이해하려면 침입이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
侵略,この問題を理解するには、侵略という観点から考えることが重要だ。,이 문제를 이해하려면 침략이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
保温,この問題を理解するには、保温という観点から考えることが重要だ。,이 문제를 이해하려면 보온이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
保育,この問題を理解するには、保育という観点から考えることが重要だ。,이 문제를 이해하려면 보육이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
保険,この問題を理解するには、保険という観点から考えることが重要だ。,이 문제를 이해하려면 보험이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
保障,この問題を理解するには、保障という観点から考えることが重要だ。,이 문제를 이해하려면 보장이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
保養,この問題を理解するには、保養という観点から考えることが重要だ。,이 문제를 이해하려면 보양이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
信じ通す,状況によっては、早めに信じ通す判断も必要になる。,상황에 따라서는 일찍 끝까지 믿다 판단도 필요해진다.,generated_n1_auto_complete_20260601
信者,この問題を理解するには、信者という観点から考えることが重要だ。,이 문제를 이해하려면 신자이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
修士,この問題を理解するには、修士という観点から考えることが重要だ。,이 문제를 이해하려면 석사이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
修復,この問題を理解するには、修復という観点から考えることが重要だ。,이 문제를 이해하려면 수복이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
個々,この問題を理解するには、個々という観点から考えることが重要だ。,이 문제를 이해하려면 개개이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
個別,この問題を理解するには、個別という観点から考えることが重要だ。,이 문제를 이해하려면 개별이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
個性,この問題を理解するには、個性という観点から考えることが重要だ。,이 문제를 이해하려면 개성이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
倍率,この問題を理解するには、倍率という観点から考えることが重要だ。,이 문제를 이해하려면 배율이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
倒産,この問題を理解するには、倒産という観点から考えることが重要だ。,이 문제를 이해하려면 도산이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
偏る,状況によっては、早めに偏る判断も必要になる。,상황에 따라서는 일찍 치우치다 판단도 필요해진다.,generated_n1_auto_complete_20260601
偏在,この問題を理解するには、偏在という観点から考えることが重要だ。,이 문제를 이해하려면 편재 치우쳐 존재함이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
偏愛,この問題を理解するには、偏愛という観点から考えることが重要だ。,이 문제를 이해하려면 편애이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
偏見,この問題を理解するには、偏見という観点から考えることが重要だ。,이 문제를 이해하려면 편견이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
停滞,この問題を理解するには、停滞という観点から考えることが重要だ。,이 문제를 이해하려면 정체 침체이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
健やかな,その説明は健やかなものではなく、追加の根拠を示す必要があった。,그 설명은 건강한 것이 아니어서 추가 근거를 제시할 필요가 있었다.,generated_n1_auto_complete_20260601
健在,この問題を理解するには、健在という観点から考えることが重要だ。,이 문제를 이해하려면 건재이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
健闘,この問題を理解するには、健闘という観点から考えることが重要だ。,이 문제를 이해하려면 건투이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
偽る,状況によっては、早めに偽る判断も必要になる。,상황에 따라서는 일찍 속이다 판단도 필요해진다.,generated_n1_auto_complete_20260601
偽造,この問題を理解するには、偽造という観点から考えることが重要だ。,이 문제를 이해하려면 위조이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
催す,状況によっては、早めに催す判断も必要になる。,상황에 따라서는 일찍 개최하다 판단도 필요해진다.,generated_n1_auto_complete_20260601
働きかける,状況によっては、早めに働きかける判断も必要になる。,상황에 따라서는 일찍 작용하다 설득하다 판단도 필요해진다.,generated_n1_auto_complete_20260601
優位,この問題を理解するには、優位という観点から考えることが重要だ。,이 문제를 이해하려면 우위이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
優勢な,その説明は優勢なものではなく、追加の根拠を示す必要があった。,그 설명은 우세한 것이 아니어서 추가 근거를 제시할 필요가 있었다.,generated_n1_auto_complete_20260601
優美な,その説明は優美なものではなく、追加の根拠を示す必要があった。,그 설명은 우아한 것이 아니어서 추가 근거를 제시할 필요가 있었다.,generated_n1_auto_complete_20260601
優越,この問題を理解するには、優越という観点から考えることが重要だ。,이 문제를 이해하려면 우월이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
元年,この問題を理解するには、元年という観点から考えることが重要だ。,이 문제를 이해하려면 원년이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
元素,この問題を理解するには、元素という観点から考えることが重要だ。,이 문제를 이해하려면 원소이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
元首,この問題を理解するには、元首という観点から考えることが重要だ。,이 문제를 이해하려면 원수이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
兆し,この問題を理解するには、兆しという観点から考えることが重要だ。,이 문제를 이해하려면 조짐이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
先代,この問題を理解するには、先代という観点から考えることが重要だ。,이 문제를 이해하려면 선대이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
先天的,この問題を理解するには、先天的という観点から考えることが重要だ。,이 문제를 이해하려면 선천적이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
先着,この問題を理解するには、先着という観点から考えることが重要だ。,이 문제를 이해하려면 선착이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
先行,この問題を理解するには、先行という観点から考えることが重要だ。,이 문제를 이해하려면 선행이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
先行き,この問題を理解するには、先行きという観点から考えることが重要だ。,이 문제를 이해하려면 앞날이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
光沢,この問題を理解するには、光沢という観点から考えることが重要だ。,이 문제를 이해하려면 광택이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
光熱費,この問題を理解するには、光熱費という観点から考えることが重要だ。,이 문제를 이해하려면 광열비이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
克明な,その説明は克明なものではなく、追加の根拠を示す必要があった。,그 설명은 꼼꼼한 것이 아니어서 추가 근거를 제시할 필요가 있었다.,generated_n1_auto_complete_20260601
克服,この問題を理解するには、克服という観点から考えることが重要だ。,이 문제를 이해하려면 극복이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
免れる,状況によっては、早めに免れる判断も必要になる。,상황에 따라서는 일찍 면하다 판단도 필요해진다.,generated_n1_auto_complete_20260601
免除,この問題を理解するには、免除という観点から考えることが重要だ。,이 문제를 이해하려면 면제이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
入手,この問題を理解するには、入手という観点から考えることが重要だ。,이 문제를 이해하려면 입수이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
入浴,この問題を理解するには、入浴という観点から考えることが重要だ。,이 문제를 이해하려면 입욕이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
入賞,この問題を理解するには、入賞という観点から考えることが重要だ。,이 문제를 이해하려면 입상이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
全快,この問題を理解するには、全快という観点から考えることが重要だ。,이 문제를 이해하려면 완쾌이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
公共性,この問題を理解するには、公共性という観点から考えることが重要だ。,이 문제를 이해하려면 공공성이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
公募,この問題を理解するには、公募という観点から考えることが重要だ。,이 문제를 이해하려면 공모이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
公団,この問題を理解するには、公団という観点から考えることが重要だ。,이 문제를 이해하려면 공단이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
公演,この問題を理解するには、公演という観点から考えることが重要だ。,이 문제를 이해하려면 공연이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
公立,この問題を理解するには、公立という観点から考えることが重要だ。,이 문제를 이해하려면 공립이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
共和,この問題を理解するには、共和という観点から考えることが重要だ。,이 문제를 이해하려면 공화이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
共存,この問題を理解するには、共存という観点から考えることが重要だ。,이 문제를 이해하려면 공존이라는 관점에서 생각하는 것이 중요하다.,generated_n1_auto_complete_20260601
