word,reading_hiragana,meaning_ko,source_title,source_author,source_url,matched_sentence
ろくな,ろくな,변변한 제대로 된,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,おどろくな、酒池肉林という、……」「カフエか？
一変,いっぺん,일변,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,としているのが、おそろしく、いまにも誰かに襲われ、一撃せられるような気がして来て、街に飛び出しては、れいの運動の手伝いをしたり、或いは堀木と一緒に安い酒を飲み廻ったりして、ほとんど学業も、また画の勉強も放棄し、高等学校へ入学して、二年目の十一月、自分より年上の有夫の婦人と情死事件などを起し、自分の身の上は、一変しました。
一心に,いっしんに,한마음으로,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,最後に私はやっと自分に必要な論文を探し出して、一心にそれを読み出しました。
一挙に,いっきょに,일거에,走れメロス,太宰治,https://www.aozora.gr.jp/cards/000035/files/1567_ruby_4948.zip,きのうの豪雨で山の水源地は氾濫し、濁流滔々と下流に集り、猛勢一挙に橋を破壊し、どうどうと響きをあげる激流が、木葉微塵に橋桁を跳ね飛ばしていた。
一様に,いちように,한결같이,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,これは夏休みなどに国へ帰る誰でもが一様に経験する心持だろうと思うが、当座の一週間ぐらいは下にも置かないように、ちやほや歓待されるのに、その峠を定規通り通り越すと、あとはそろそろ家族の熱が冷めて来て、しまいには有っても無くっても構わないもののように粗末に取り扱われがちになるものである。
一気に,いっきに,단숨에,走れメロス,太宰治,https://www.aozora.gr.jp/cards/000035/files/1567_ruby_4948.zip,一気に峠を駈け降りたが、流石に疲労し、折から午後の灼熱の太陽がまともに、かっと照って来て、メロスは幾度となく眩暈を感じ、これではならぬ、と気を取り直しては、よろよろ二、三歩あるいて、ついに、がくりと膝を折った。
一気に,いっきに,단숨에,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,（お前に罪は無い）自分は、音を立てないようにそっとコップに水を満たし、それから、ゆっくり箱の封を切って、全部、一気に口の中にほうり、コップの水を落ちついて飲みほし、電燈を消してそのまま寝ました。
一身上,いっしんじょう,신상 개인 사정,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,ことごとく送別の辞を述べたが、三人共申し合せたようにうらなり君の、良教師で好人物な事を吹聴して、今回去られるのはまことに残念である、学校としてのみならず、個人として大いに惜しむところであるが、ご一身上のご都合で、切に転任をご希望になったのだから致し方がないという意味を述べた。
一部分,いちぶぶん,일부분,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,しかし私はいつでも先生に付属した一部分のような心持で奥さんに対していた。
三味線,しゃみせん,샤미센,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,おれの前へ来た一人の芸者が、あんた、なんぞ、唄いなはれ、と三味線を抱えたから、おれは唄わない、貴様唄ってみろと云ったら、金や太鼓でねえ、迷子の迷子の三太郎と、どんどこ、どんのちゃんちきりん。
上司,じょうし,상사,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,京橋へ来て、こういうくだらない生活を既に一年ちかく続け、自分の漫画も、子供相手の雑誌だけでなく、駅売りの粗悪で卑猥な雑誌などにも載るようになり、自分は、上司幾太（情死、生きた）という、ふざけ切った匿名で、汚いはだかの絵など画き、それにたいていルバイヤットの詩句を插入しました。
上陸,じょうりく,상륙,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,二人は何にも知らないで、船が一番先へ着いた所から上陸したのです。
下痢,げり,설사,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,にカルモチンを買っておいで、と言って、村の薬屋にお使いにやったら、いつもの箱と違う形の箱のカルモチンを買って来て、べつに自分も気にとめず、寝る前に十錠のんでも一向に眠くならないので、おかしいなと思っているうちに、おなかの具合がへんになり急いで便所へ行ったら猛烈な下痢で、しかも、それから引続き三度も便所にかよったのでした。
不吉な,ふきつな,불길한,走れメロス,太宰治,https://www.aozora.gr.jp/cards/000035/files/1567_ruby_4948.zip,祝宴に列席していた村人たちは、何か不吉なものを感じたが、それでも、めいめい気持を引きたて、狭い家の中で、むんむん蒸し暑いのも怺え、陽気に歌をうたい、手を拍った。
不吉な,ふきつな,불길한,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,謂わば、坐って火鉢に両手をかざしながら、自然に死んでいるような、まことにいまわしい、不吉なにおいのする写真であった。
不意,ふい,뜻밖,羅生門,芥川龍之介,https://www.aozora.gr.jp/cards/000879/files/127_ruby_150.zip,そうして、一足前へ出ると、不意に右の手を面皰から離して、老婆の襟上をつかみながら、噛みつくようにこう云った。
不意,ふい,뜻밖,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,すると一町ほど歩いた後で、先生が不意にそこへ戻って来た。
不慮,ふりょ,뜻밖의 사고,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,蒼い顔をしながら、「不慮の出来事なら仕方がないじゃありませんか」と慰めるようにいってくれました。
世辞,せじ,아첨,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,清がこんな事を云う度におれはお世辞は嫌いだと答えるのが常であった。
世辞,せじ,아첨,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,を言っても、まんざら空お世辞に聞えないくらいの、謂わば通俗の「可愛らしさ」みたいな影もその子供の笑顔に無いわけではないのだが、しかし、いささかでも、美醜に就いての訓練を経て来たひとなら、ひとめ見てすぐ、「なんて、いやな子供だ」と頗る不快そうに呟き、毛虫でも払いのける時のような手つきで、その写真をほうり投げるかも知れない。
丘,おか,언덕,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,私の尻をおろした所は少し小高い丘の上で、そのすぐ傍がホテルの裏口になっていたので、私の凝としている間に、大分多くの男が塩を浴びに出て来たが、いずれも胴と腕と股は出していなかった。
丘,おか,언덕,銀河鉄道の夜,宮沢賢治,https://www.aozora.gr.jp/cards/000081/files/48222_ruby_59603.zip,まもなくジョバンニは〔〕黒い丘の方へ急ぎました。
中毒,ちゅうどく,중독,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,「いけませんよ、中毒になったら、そりゃもう、たいへんです」薬屋の奥さんにそう言われると、自分はもう可成りの中毒患者になってしまったような気がして来て、（自分は、ひとの暗示に実にもろくひっかかるたちなのです。
中腹,ちゅうふく,산중턱,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,町はずれの岡の中腹にある家で至極閑静だ。
主人公,しゅじんこう,주인공,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,右の方は主人公だというのでうらなり先生、これも日本服で控えている。
主人公,しゅじんこう,주인공,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,部屋の壁や、小さい火鉢は思い出す事が出来るけれども、その部屋の主人公の顔の印象は、すっと霧消して、どうしても、何としても思い出せない。
主任,しゅにん,주임,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,他の一人は五時を十五分ほど後らして持って行ったため、危く跳ね付けられようとしたところを、主任教授の好意でやっと受理してもらったといった。
主任,しゅにん,주임,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,挨拶が一通り済んだら、校長が今日はもう引き取ってもいい、もっとも授業上の事は数学の主任と打ち合せをしておいて、明後日から課業を始めてくれと云った。
主観,しゅかん,주관,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,、何でも無いものを、主観に依って美しく創造し、或いは醜いものに嘔吐をもよおしながらも、それに対する興味を隠さず、表現のよろこびにひたっている、つまり、人の思惑に少しもたよっていないらしいという、画法のプリミチヴな虎の巻を、竹一から、さずけられて、れいの女の来客たちには隠して、少しずつ、自画像の制作に取りかかってみました。
乏しい,とぼしい,부족한,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,先生は元来酒量に乏しい人であった。
乏しい,とぼしい,부족한,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,ところが学校というものはなかなか情実のあるもので、そう書生流に淡泊には行かないですからね」「淡泊に行かなければ、どんな風に行くんです」「さあ君はそう率直だから、まだ経験に乏しいと云うんですがね……」「どうせ経験には乏しいはずです。
予想,よそう,예상,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,しかしこれから先のあなたに起るべき変化を予想して見ると、なお苦しくなります」「私はそれほど軽薄に思われているんですか。
予感,よかん,예감,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,おれのような下らないものでも、まだこうしていられるくらいだから」父は自分の達者な保証を自分で与えながら、今にも己れに落ちかかって来そうな危険を予感しているらしかった。
予感,よかん,예감,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,世の中の合法というもののほうが、かえっておそろしく、（それには、底知れず強いものが予感せられます）そのからくりが不可解で、とてもその窓の無い、底冷えのする部屋には坐っておられず、外は非合法の海であっても、それに飛び込んで泳いで、やがて死に到るほうが、自分には、いっそ気楽のようでした。
予言,よげん,예언,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,八幸いにして先生の予言は実現されずに済んだ。
予言,よげん,예언,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,しかしこれは、おそらく、あの竹一も意識しなかったほどの、おそろしい悪魔の予言のようなものだったという事を、自分は後年に到って思い知りました。
事業,じぎょう,사업,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,叔父は事業家でした。
互い,たがい,서로,走れメロス,太宰治,https://www.aozora.gr.jp/cards/000035/files/1567_ruby_4948.zip,いちどだって、暗い疑惑の雲を、お互い胸に宿したことは無かった。
互い,たがい,서로,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,そうしてお互いにお互いがどんな事を思っているかをよく理解し合っていた。
些細な,ささいな,사소한,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,しかしそれはほとんど問題とするに足りない些細な事柄です。
交互,こうご,교대,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,送金は、やはり、二、三日で消えてしまい、自分は慄然とし、心細さのために狂うようになり、父、兄、姉などへ交互にお金を頼む電報と、イサイフミの手紙（その手紙に於いて訴えている事情は、ことごとく、お道化の虚構でした。
交渉,こうしょう,교섭 협상,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,私はあなたの知っている通り、ほとんど世間と交渉のない孤独な人間ですから、義務というほどの義務は、自分の左右前後を見廻しても、どの方角にも根を張っておりません。
人一倍,ひといちばい,남보다 갑절로,走れメロス,太宰治,https://www.aozora.gr.jp/cards/000035/files/1567_ruby_4948.zip,けれども邪悪に対しては、人一倍に敏感であった。
人一倍,ひといちばい,남보다 갑절로,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,彼はいつも話す通り頗る強情な男でしたけれども、一方ではまた人一倍の正直者でしたから、自分の矛盾などをひどく非難される場合には、決して平気でいられない質だったのです。
人出,ひとで,인파,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,私の宿は人出入りの少ない家でした。
人出,ひとで,인파,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,すると六人出て来た。
人影,ひとかげ,사람 그림자,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,しかしそこにも人影は見えなかった。
人影,ひとかげ,사람 그림자,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,ぶらぶら土手の上をあるきながら、約三丁も来たと思ったら、向うに人影が見え出した。
人情,にんじょう,인정,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,立つといい出すと、人情は妙なもので、父も母も反対した。
人情,にんじょう,인정,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,一体釣や猟をする連中はみんな不人情な人間ばかりだ。
人手,ひとで,일손,銀河鉄道の夜,宮沢賢治,https://www.aozora.gr.jp/cards/000081/files/48222_ruby_59603.zip,それから四五人手をあげました。
人手,ひとで,일손,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,清は十何年居たうちが人手に渡るのを大いに残念がったが、自分のものでないから、仕様がなかった。
人格,じんかく,인격,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,余りに人格が善良だったのです。
人質,ひとじち,인질,走れメロス,太宰治,https://www.aozora.gr.jp/cards/000035/files/1567_ruby_4948.zip,このごろは、臣下の心をも、お疑いになり、少しく派手な暮しをしている者には、人質ひとりずつ差し出すことを命じて居ります。
人質,ひとじち,인질,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,皆々それ相応に威張ってるんだが、このうらなり先生のように在れどもなきがごとく、人質に取られた人形のように大人しくしているのは見た事がない。
仏像,ぶつぞう,불상,羅生門,芥川龍之介,https://www.aozora.gr.jp/cards/000879/files/127_ruby_150.zip,旧記によると、仏像や仏具を打砕いて、その丹がついたり、金銀の箔がついたりした木を、路ばたにつみ重ねて、薪の料に売っていたと云う事である。
仕様,しよう,사양,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,そういわれると、私悲しくなって仕様がないんです、涙が出てなおの事自分の悪い所が聞きたくなるんです」奥さんは眼の中に涙をいっぱい溜めた。
仕様,しよう,사양,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,清は十何年居たうちが人手に渡るのを大いに残念がったが、自分のものでないから、仕様がなかった。
会談,かいだん,회담,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,シヅ子の取計らいで、ヒラメ、堀木、それにシヅ子、三人の会談が成立して、自分は、故郷から全く絶縁せられ、そうしてシヅ子と「天下晴れて」同棲という事になり、これまた、シヅ子の奔走のおかげで自分の漫画も案外お金になって、自分はそのお金で、お酒も、煙草も買いましたが、自分の心細さ、うっとうしさは、いよいよつのるばかりなのでした。
伝言,でんごん,전언,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,なに、たいした事じゃないがね、たまには、高円寺のほうへも遊びに来てくれっていう御伝言さ」忘れかけると、怪鳥が羽ばたいてやって来て、記憶の傷口をその嘴で突き破ります。
伝説,でんせつ,전설,走れメロス,太宰治,https://www.aozora.gr.jp/cards/000035/files/1567_ruby_4948.zip,（古伝説と、シルレルの詩から。
伴う,ともなう,동반하다,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,そうしてその上に彩られる大都会の空気が、記憶の復活に伴う強い刺戟と共に、濃く私の心を染め付けた。
体力,たいりょく,체력,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,体力からいえばＫよりも私の方が強いのですから、私はすぐ応じました。
体裁,ていさい,체재,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,私はかつて先生から「あなたの宅の構えはどんな体裁ですか。
体裁,ていさい,체재,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,出来るならば月給を倍にして、遠山のお嬢さんと明日から結婚さして、一ヶ月ばかり東京へでも遊びにやってやりたい気がした矢先だから、やお湯ですか、さあ、こっちへお懸けなさいと威勢よく席を譲ると、うらなり君は恐れ入った体裁で、いえ構うておくれなさるな、と遠慮だか何だかやっぱり立ってる。
余地,よち,여지,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,私の性質として、また私の境遇からいって、その時の私には、そんな利害の念に頭を悩ます余地がなかったのである。
余地,よち,여지,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,この短かい二十日間において生徒は君の学問人物を評価し得る余地がないのであります。
余興,よきょう,여흥,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,余興は午後にあると云う話だから、ひとまず下宿へ帰って、こないだじゅうから、気に掛っていた、清への返事をかきかけた。
使いこなす,つかいこなす,능숙하게 다루다,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,空っぽな理屈を使いこなす事が。
依然,いぜん,여전히 이전과 같이,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,私は依然として先生に会いに行った。
依然,いぜん,여전히 이전과 같이,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,山嵐とおれが絶交の姿となったに引き易えて、赤シャツとおれは依然として在来の関係を保って、交際をつづけている。
依頼,いらい,의뢰 부탁,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,私は先生が私の依頼に取り合うまいと思いながらこの手紙を書いた。
依頼,いらい,의뢰 부탁,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,すると赤シャツはそれじゃ昨日の事は君の参考だけにとめて、口外してくれるなと汗をかいて依頼に及ぶから、よろしい、僕も困るんだが、そんなにあなたが迷惑ならよしましょうと受け合った。
侮辱,ぶじょく,모욕,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,私は未来の侮辱を受けないために、今の尊敬を斥けたいと思うのです。
便宜,べんぎ,편의,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,そうして封じる便宜のために、四つ折に畳まれてあった。
便宜,べんぎ,편의,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,しかし、自分は、それを言い明さないほうが、便宜な事もあるような気がふっとしたものですから、ただ、「はい」と、伏眼になり、殊勝げに答えて置きました。
保護,ほご,보호,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,彼の性格からいって、自活の方が友達の保護の下に立つより遥に快よく思われたのでしょう。
保護,ほご,보호,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,なまじい保護を受ければこそ、こんな兄に頭を下げなければならない。
信仰,しんこう,신앙,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,私はその人に対して、ほとんど信仰に近い愛をもっていたのです。
信任,しんにん,신임,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,正面からは受け留めにくいが、おれはもう赤シャツに対して不信任を心の中で申し渡してしまった。
修了,しゅうりょう,수료,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,四年から受けて見よ、と言われたので、自分も桜と海の中学はもういい加減あきていましたし、五年に進級せず、四年修了のままで、東京の高等学校に受験して合格し、すぐに寮生活にはいりましたが、その不潔と粗暴に辟易して、道化どころではなく、医師に肺浸潤の診断書を書いてもらい、寮から出て、上野桜木町の父の別荘に移りました。
修学,しゅうがく,수학,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,後から考えると、私自身がすでにその組だったのですが、私はそれさえ分らずに、ただ子供らしく愉快に修学の道を歩いて行きました。
修学,しゅうがく,수학,銀河鉄道の夜,宮沢賢治,https://www.aozora.gr.jp/cards/000081/files/48222_ruby_59603.zip,一昨年修学旅行で〔以下数文字分空白〕「お父さんはこの次はおまへにラッコの上着をもってくるといったねえ。
倹約,けんやく,절약,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,――宿屋へ茶代を五円やるのはいいが、あとで困りゃしないか、田舎へ行って頼りになるはお金ばかりだから、なるべく倹約して、万一の時に差支えないようにしなくっちゃいけない。
偏屈,へんくつ,편굴함 괴팍함,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,一人で置くとますます人間が偏屈になるばかりだからといいました。
側面,そくめん,측면,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,すると赤シャツは山嵐の机の上へ肱を突いて、あの盤台面をおれの鼻の側面へ持って来たから、何をするかと思ったら、君昨日返りがけに船の中で話した事は、秘密にしてくれたまえ。
傾ける,かたむける,기울이다,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,その時分の私はＫと大分考えが違っていましたから、坊さんとＫの談話にそれほど耳を傾ける気も起りませんでしたが、Ｋはしきりに日蓮の事を聞いていたようです。
傾斜,けいしゃ,경사,銀河鉄道の夜,宮沢賢治,https://www.aozora.gr.jp/cards/000081/files/48222_ruby_59603.zip,この傾斜があるもんですから汽車は決して向ふからこっちへは来な〔い〕んです。
元来,がんらい,원래,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,先生は元来酒量に乏しい人であった。
元来,がんらい,원래,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,元来女のような性分で、ずるいから、仲がよくなかった。
充実,じゅうじつ,충실,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,血の重さ、とでも言おうか、生命の渋さ、とでも言おうか、そのような充実感は少しも無く、それこそ、鳥のようではなく、羽毛のように軽く、ただ白紙一枚、そうして、笑っている。
公然,こうぜん,공공연함,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,蔭口をきくのでさえ、公然と名前が云えないくらいな男だから、弱虫に極まってる。
公言,こうげん,공언,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,奥さんは心得のある人でしたから、わざと私をそんな風に取り扱ってくれたものとも思われますし、また自分で公言するごとく、実際私を鷹揚だと観察していたのかも知れません。
公言,こうげん,공언,坊っちゃん,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/752_ruby_2438.zip,生徒があばれるのは、生徒がわるいんじゃない教師が悪るいんだと公言している。
公認,こうにん,공인,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,私はこの公認された事実を勝手に布衍しているかも知れないが、始終接触して親しくなり過ぎた男女の間には、恋に必要な刺戟の起る清新な感じが失われてしまうように考えています。
公開,こうかい,공개,羅生門,芥川龍之介,https://www.aozora.gr.jp/cards/000879/files/127_ruby_150.zip,入力：平山誠、野口英司校正：もりみつじゅんじ1997年10月29日公開2022年7月16日修正青空文庫作成ファイル：このファイルは、インターネットの図書館、青空文庫（https://www.aozora.gr.jp/）で作られました。
公開,こうかい,공개,走れメロス,太宰治,https://www.aozora.gr.jp/cards/000035/files/1567_ruby_4948.zip,2刷底本の親本：「筑摩全集類聚版太宰治全集」筑摩書房1975（昭和50）年6月～1976（昭和51）年6月入力：金川一之校正：高橋美奈子2000年12月4日公開2011年1月17日修正青空文庫作成ファイル：このファイルは、インターネットの図書館、青空文庫（http://www.aozora.gr.jp/）で作られました。
共感,きょうかん,공감,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,自分には、女の千万言の身の上噺よりも、その一言の呟きのほうに、共感をそそられるに違いないと期待していても、この世の中の女から、ついにいちども自分は、その言葉を聞いた事がないのを、奇怪とも不思議とも感じております。
共鳴,きょうめい,공명,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,自分の若白髪は、その夜からはじまり、いよいよ、すべてに自信を失い、いよいよ、ひとを底知れず疑い、この世の営みに対する一さいの期待、よろこび、共鳴などから永遠にはなれるようになりました。
内心,ないしん,내심,こころ,夏目漱石,https://www.aozora.gr.jp/cards/000148/files/773_ruby_5968.zip,こっちでいくら思っても、向うが内心他の人に愛の眼を注いでいるならば、私はそんな女といっしょになるのは厭なのです。
内心,ないしん,내심,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,おもてでは、絶えず笑顔をつくりながらも、内心は必死の、それこそ千番に一番の兼ね合いとでもいうべき危機一髪の、油汗流してのサーヴィスでした。
内緒,ないしょ,비밀,人間失格,太宰治,https://www.aozora.gr.jp/cards/000035/files/301_ruby_5915.zip,夜おそく、二階の自分には内緒で、二人でおそばなどを取寄せて無言で食べている事がありました。
