example_id,word,example_jp,example_ko
2149,めきめき,上野の音楽学校にはいってヴァイオリンのけいこを始めてから二か月ほどの間にめきめき上達して、教師や生徒の舌を巻かした時、ケーべル博士一人は渋い顔をした。,"우에노의 음악학교에는 바이올린의 케이코를 시작한 지 2개월 정도의 사이에 설레게 뛰어나 교사나 학생의 혀를 감았을 때, 케이벨 박사 한 명은 시끄러운 얼굴을 했다."
2150,ろくな,列車の中からはある限りの顔が二人を見迎え見送るので、青年が物慣れない処女のようにはにかんで、しかも自分ながら自分を怒っているのが葉子にはおもしろくながめやられた。,"열차 안에서는 어느 한 얼굴이 두 사람을 맞이해 보냈기 때문에, 청년이 익숙하지 않은 처녀처럼 어쨌든, 게다가 자신이면서 자신을 화내고 있는 것이 하코에게는 재미있고 매달렸다."
2151,一心に,葉子はその男から離れたい一心に、手に持った手鞄と包み物とを甲板の上にほうりなげて、若者の手をやさしく振りほどこうとして見たが無益だった。,"하코는 그 남자로부터 떠나고 싶은 일심에, 손에 들고 있는 손가락과 싸구려를 갑판 위에 엎드려, 젊은이의 손을 부드럽게 흔들 정도로 해 보았지만 무익했다."
2152,一部分,自分の財産となればなるべきものを一部分だけあてがわれて、黙って引っ込んでいる葉子ではなかった。,"자신의 재산이 되어야 하는 것을 일부분만 맞아, 묵묵히 끌어들이고 있는 하코는 아니었다."
2153,上陸,米国への上陸が禁ぜられているシナの苦力がここから上陸するのと、相当の荷役とで、船の内外は急に騒々しくなった。,"미국에의 상륙이 금지되고 있는 중국의 고력이 여기에서 상륙하는 것과, 상당한 하역으로, 배의 내외는 갑자기 시끄러워졌다."
2154,下す,その胸に書かれた「中将湯」という文字を、何げなしに一字ずつ読み下すと、彼女は突然私生児の定子の事を思い出した。,그 가슴에 쓰여진 '나카쇼유'라는 글자를 헷갈리지 않고 한자씩 읽으면서 그녀는 갑자기 사생아의 정자를 기억했다.
2155,不意,あまりの不意に細君は目を見張って顔をあげた。,너무 갑자기 호소군은 눈을 바라보며 얼굴을 들었다.
2156,世辞,が、田川夫妻が自分と反対の舷の籐椅子に腰かけて、世辞世辞しく近寄って来る同船者と何か戯談口でもきいているとひとりで決めると、安心でもしたように幻想はまたかの若者にかえって行った。,"하지만, 타가와 부부가 자신과 반대의 현의 등나무 의자에 앉고, 세사 세세하게 다가오는 동선자와 뭔가 연담구에서도 오고 있다고 혼자 결정하자, 안심도 한 것처럼 환상은 또 한 젊은이를 대신해 갔다."
2157,主権,倫理学者や、教育家や、家庭の主権者などもそのころから猜疑の目を見張って少女国を監視し出した。,윤리학자나 교육가나 가정 주권자 등도 그 무렵부터 아픔의 눈을 바라보며 소녀국을 ​​감시했다.
2158,久しい,鴎が群れをなして猫に似た声でなきながら、船のまわりを水に近くのどかに飛び回るのを見るのも、葉子には絶えて久しい物珍しさだった。,오리가 무리를 이루고 고양이를 닮은 목소리로 나오면서 배 주위를 물 근처의 어딘가로 날아다니는 것을 보는 것도 하코에게는 끊임없이 오랜 특이함이었다.
2159,乏しい,田川の威厳に乏しい目にも鋭い光がきらめいては消え、さらにきらめいて消えたのを見すまして、葉子は始めて田川夫人の目を迎えた。,"타가와의 위엄이 부족한 눈에도 날카로운 빛이 반짝반짝 사라졌고, 더욱 반짝반짝 사라진 것을 보면서, 하코는 시작해 타가와 부인의 눈을 맞았다."
2160,乗り出す,これを聞いた一座は、ことに外国人たちは、椅子から乗り出すようにして夫人を見た。,이를 들은 한 자리는 외국인들은 의자에서 나서도록 부인을 보았다.
2161,予想,この短い瞬間に、今までの出来事でいいかげん乱れていた心は、身の破滅がとうとう来てしまったのだというおそろしい予想に押しひしがれて、頭は氷で巻かれたように冷たく気うとくなった。,"이 짧은 순간에, 지금까지의 사건으로 좋게 흐트러져 있던 마음은, 몸의 파멸이 드디어 와 버렸다라고 하는 엄청난 예상에 밀려서, 머리는 얼음으로 감은 것처럼 차갑게 신경쓰게 되었다."
2162,予言,内田は熱心なキリスト教の伝道者として、憎む人からは蛇蝎のように憎まれるし、好きな人からは予言者のように崇拝されている天才肌の人だった。,"우치다는 열심한 기독교의 전도자로서 미워하는 사람으로부터는 뱀불처럼 미워하고, 좋아하는 사람으로부터는 예언자처럼 숭배되고 있는 천재 피부의 사람이었다."
2163,事業,キリスト教婦人同盟の事業に奔走し、社会では男まさりのしっかり者という評判を取り、家内では趣味の高いそして意志の弱い良人を全く無視して振る舞ったその母の最も深い隠れた弱点を、拇指と食指との間にちゃんと押えて、一歩もひけを取らなかったのも彼女である。,"그리스도 교부인 동맹의 사업에 분주해, 사회에서는 남자 바로 확고한 자라는 평판을 취해, 가내에서는 취미가 높은 그리고 의지가 약한 양인을 전혀 무시하고 행동한 그 어머니의 가장 깊은 숨겨진 약점을, 손가락과 식가지 사이에 제대로 잡아, 한걸음도"
2164,互い,葉子と古藤とは話の腰を折られて互いに不快な顔をしながら、手欄から下のほうをのぞいて見ると、すぐ目の下に、そのころ人の少し集まる所にはどこにでも顔を出す轟という剣舞の師匠だか撃剣の師匠だかする頑丈な男が、大きな五つ紋の黒羽織に白っぽい鰹魚縞の袴をはいて、桟橋の板を朴の木下駄で踏み鳴らしながら、ここを先途とわめいていた。,"하코와 고토와는 이야기의 허리를 꺾어 서로 불쾌한 얼굴을 하면서, 수란에서 아래쪽을 들여다 보면, 바로 눈 밑에, 그 당시 사람의 조금 모이는 곳에는 어디에라도 얼굴을 내는 굉 검무의 스승인가 격검의 스승인지 튼튼한 남자가, 큰 5문의 흑하오리에 하얀 가다랭이 줄무늬의 하카마를 씌우고, 부두의 판을 박의 나무 나막신으로 밟으면서, 여기를 선도로 흥분하고 있었다."
2165,些細な,こういうはめになった今、米国にいようが日本にいようが少しばかりの財産があろうが無かろうが、そんな事は些細な話だった。,"이런 탓이 된 지금, 미국에 가자 일본에 가자 조금만의 재산이 있을지 몰라도, 그런 일은 사소한 이야기였다."
2166,交渉,ただ一つこれらの群れからは全く没交渉な一団があった。,단 하나 이러한 무리로부터는 전혀 몰 교섭한 일단이 있었다.
2167,人一倍,日本人が着るといかにもいや味に見えるアメリカ風の背広も、さして取ってつけたようには見えないほど、太平洋を幾度も往来したらしい人たちで、どんな職業に従事しているのか、そういう見分けには人一倍鋭敏な観察力を持っている葉子にすら見当がつかなかった。,"일본인이 입으면 아무래도 아니 맛 보이는 미국풍의 배광도, 그렇게 취해 붙인 것처럼 보이지 않을 정도로, 태평양을 몇번이나 왕래한 것 같은 사람들로, 어떤 직업에 종사하고 있는지, 그러한 구별에는 사람 일배 예민한 관찰력을 가지고 있는 하코에게조차 볼 수 없었다."
2168,人体,青年の前に座を取っていた四十三四の脂ぎった商人体の男は、あたふたと立ち上がって自分の後ろのシェードをおろして、おりふし横ざしに葉子に照りつける朝の光線をさえぎった。,"청년 앞에 자리를 잡고 있던 434의 기름진 상인체의 남자는, 뚜껑과 일어서 자신의 뒤의 쉐이드를 내리고, 오리후시 거짓말에 하자에 비추는 아침의 광선을 막았다."
2169,人影,その目は小さくなった人影の中から乳母の姿を探り出そうとせず、一種のなつかしみを持つ横浜の市街を見納めにながめようとせず、凝然として小さくうずくまる若者ののらしい黒点を見つめていた。,"그 눈은 작아진 인영 속에서 유모의 모습을 찾아내려고 하지 않았고, 일종의 어색함을 지닌 요코하마의 시가를 꿰뚫어 쓰러뜨리려고 하지 않고, 응연적으로 작게 쑤시는 젊은이의 듯한 흑점을 바라보고 있었다."
2170,人情,木部の友人たちが葉子の不人情を怒って、木部のとめるのもきかずに、社会から葬ってしまえとひしめいているのを葉子は聞き知っていたから、ふだんならば一も二もなく父をかばって母に楯をつくべきところを、素直に母のするとおりになって、葉子は母と共に仙台に埋もれに行った。,"목부의 친구들이 하코의 불인정을 화내고, 목부의 멈추는 것도 없이, 사회로부터 장례해 버려 꽉 잡고 있는 것을 하코는 듣고 알고 있었기 때문에, 평소라면 아무렇지도 않게 아버지를 가리고 어머니에게 말을 붙여야 할 곳을, 솔직하게 어머니의 대로가 되어, 하코는."
2171,人柄,いかにも人柄に不似合いな下手な字体で、葉子がひょっとすると上陸を見合わせてそのまま帰るという事を聞いたが、もしそうなったら自分も断然帰朝する。,"아무래도 인품에 부적합한 서투른 자체로, 하코가 어쩌면 상륙을 맞춰 그대로 돌아간다는 것을 들었지만, 만약 그렇게 되면 자신도 단연 귀조한다."
2172,伝言,靴の先で甲板をこつこつとたたいて、うつむいてそれをながめながら、帯の間に手をさし込んで、木村への伝言を古藤はひとり言のように葉子にいった。,"신발 끝에서 갑판을 긁어내고, 엎질러서 그것을 붙잡으면서, 띠 사이에 손을 넣어, 기무라에의 전언을 고토는 한마디처럼 하코에게 갔다."
2173,余る,二週間に余る苦心の末にそれはあらかたでき上がった。,2주간 남은 고심의 끝에 그것은 미리 완성되었다.
2174,作戦,葉子の母が暴力では及ばないのを悟って、すかしつなだめつ、良人までを道具につかったり、木部の尊信する牧師を方便にしたりして、あらん限りの知力をしぼった懐柔策も、なんのかいもなく、冷静な思慮深い作戦計画を根気よく続ければ続けるほど、葉子は木部を後ろにかばいながら、健気にもか弱い女の手一つで戦った。,"하코의 어머니가 폭력으로는 미치지 못하는 것을 깨닫고, 희미하게 낯설고, 양인까지를 도구에 붙이거나, 목부의 존신하는 목사를 방편으로 하거나, 일관된 지력을 짜 그 회유책도, 어쩔 수 없이, 냉정한 사려깊은 작전 계획을 근기 좋게 계속할수록, 하코는 목부를 뒤로 찔리면서, 건강하게도 약한 여자의 손 하나로 싸웠다."
2175,作用,口から喉はあえぎたいほどにひからびて、岡の肩に乗せた手は、生理的な作用から冷たく堅くなっていた。,"입에서 목은 헐떡거릴 정도로 들쭉날쭉하고, 오카의 어깨에 실은 손은, 생리적인 작용으로부터 차갑고 단단해지고 있었다."
2176,依然,その鋭い小さな目は依然として葉子を見守っていた。,그 날카로운 작은 눈은 여전히 ​​하코를 지켜보고있었습니다.
2177,侮辱,今は車内の人が申し合わせて侮辱でもしているように葉子には思えた。,지금은 차내의 사람이 서로 맞물려 모욕에서도 하고 있는 것처럼 하코는 생각되었다.
2178,保障,この五十川女史のまあまあというような不思議なあいまいな切り盛りで、木村は、どこか不確実ではあるが、ともかく葉子を妻としうる保障を握ったのだった。,"이 이가가와 여사의 뭐 뭐라고 하는 이상한 모호한 절벽으로 키무라는 어딘가 불확실하지만, 어쨌든 하코를 아내로 할 수 있는 보장을 잡은 것이었다."
2179,信仰,早月母子が東京を去るとまもなく、ある新聞は早月ドクトルの女性に関するふしだらを書き立てて、それにつけての親佐の苦心と貞操とを吹聴したついでに、親佐が東京を去るようになったのは、熱烈な信仰から来る義憤と、愛児を父の悪感化から救おうとする母らしい努力に基づくものだ。,이른 달 모자가 도쿄를 떠나자 얼마 지나지 않아 한 신문은 이른 달 닥터의 여성에 관한 망설임을 써서 거기에 붙어 있는 친령의 고심과 정조를 청취한 뒤에 친령이 도쿄를 떠나게 된 것은 열렬한 신앙에서 오는 의분과 감정을 바탕으로 애화를 아버지.
2180,信者,二十五というそのころまで、熱心な信者で、清教徒風の誇りを唯一の立場としていた木部がこの初恋においてどれほど真剣になっていたかは想像する事ができる。,"이십오라는 그 무렵까지, 열심한 신자로, 청교도풍의 자랑을 유일한 입장으로 하고 있던 목부가 이 첫사랑에 있어서 얼마나 진지해지고 있었는지는 상상할 수 있다."
2181,個性,女学校や音楽学校で、葉子の強い個性に引きつけられて、理想の人ででもあるように近寄って来た少女たちは、葉子におどおどしい同性の恋をささげながら、葉子にinspireされて、われ知らず大胆な奔放な振る舞いをするようになった。,여학교와 음악학교에서 하코의 강한 개성에 끌려 이상적인 사람이기도 하게 다가온 소녀들은 하코에게 끔찍한 동성의 사랑을 바치면서 하코에게 inspire되어 모르게 대담한 분방한 행동을 하게 되었다.
2182,傾ける,葉子はそれに耳を傾けるような様子はしていたけれども、ほんとうはさして注意もせずに、ちょうど自分の目の前に、たくさんの見送り人に囲まれて、応接に暇もなげな田川法学博士の目じりの下がった顔と、その夫人のやせぎすな肩との描く微細な感情の表現を、批評家のような心で鋭くながめやっていた。,"하코는 그것에 귀를 기울이는 모습을 하고 있었지만, 정말로 주의도 하지 않고, 그냥 자신의 눈앞에, 많은 배송인에 둘러싸여, 가까이서도 여유로운 타가와 법학 박사의 눈길이 내린 얼굴과, 그 부인의 야세기스나 어깨와의 그리는 미세한 감정의 표현을, 비평가와 같은 마음으로 날카롭게 매달려 있었다."
2183,優越,横浜の桟橋につながれた絵島丸の甲板の上で、始めて猛獣のようなこの男を見た時から、稲妻のように鋭く葉子はこの男の優越を感受した。,"요코하마의 부두에 연결된 에지마마루의 갑판 위에서, 처음으로 맹수 같은 이 남자를 본 때부터 번개처럼 날카로운 하코는 이 남자의 우월을 감수했다."
2184,光沢,やや荒れ始めた三十男の皮膚の光沢は、神経的な青年の蒼白い膚の色となって、黒く光った軟らかい頭の毛がきわ立って白い額をなでている。,약간 거칠기 시작한 삼십남 피부의 광택은 신경적인 청년의 창백한 매끄러운 색이 되어 검게 빛나는 부드러운 머리카락이 활짝 서서 하얀 이마를 쓰다듬고 있다.
2185,入浴,そんな事を思うと葉子は悒鬱が生み出す反抗的な気分になって、湯をわかさせて入浴し、寝床をしかせ、最上等の三鞭酒を取りよせて、したたかそれを飲むと前後も知らず眠ってしまった。,"그런 일을 생각하자 하코는 기우가 낳는 반항적인 기분이 되어, 탕을 알게 하고 목욕하고, 잠자리를 얹고, 최상등의 삼채주를 받아들여, 혹시 그것을 마시면 전후도 모르고 잠들어 버렸다."
2186,公然,新橋で車夫が若奥様と呼んだのも、この事が出入りのものの間に公然と知れわたっていたからの事だった。,"신바시에서 차남이 젊은 부모님이라고 부른 것도, 이 일이 출입의 사이에 공공연하게 알려져 있었기 때문이었다."
2187,共鳴,同じ胎を借りてこの世に生まれ出た二人の胸には、ひたと共鳴する不思議な響きが潜んでいた。,같은 태를 빌려 이 세상에 태어난 두 사람의 가슴에는 히타와 공명하는 이상한 울림이 숨어 있었다.
2188,内部,その瞑想的な無邪気な態度が、葉子の内部的経験や苦悶と少しも縁が続いていないで、二人の間には金輸際理解が成り立ち得ないと思うと、彼女は特別に毛色の変わった自分の境界に、そっとうかがい寄ろうとする探偵をこの青年に見いだすように思って、その五分刈りにした地蔵頭までが顧みるにも足りない木のくずかなんぞのように見えた。,"그 명상적인 순진한 태도가 하코의 내부적 경험이나 고민과 조금도 인연이 이어지지 않고, 두 사람 사이에는 금수시 이해가 성립할 수 없다고 생각하면, 그녀는 특별히 모색이 변한 자 분의 경계에, 살짝 엿보려고 하는 탐정을 이 청년에게 찾아내도록(듯이) 생각해, 그 5분 깎은 지장두까지가 돌보는데도 부족한 나무의 찌그러짐 같은 것처럼 보였다."
2189,円滑な,五十川女史は日ごろの円滑な人ずれのした調子に似ず、何かひどく激昂した様子で、「わたしは亡くなった親佐さんのお考えはこうもあろうかと思った所を申したまでですから、それを葉子さんが悪いとおっしゃるなら、その上とやかく言いともないのですが、親佐さんは堅い昔風な信仰を持った方ですから、田島さんの塾は前からきらいでね……よろしゅうございましょう、そうなされば。,"이토카와 여사는 평소의 원활한 사람 어긋남의 음색과 닮아, 뭔가 심하게 격상한 모습으로, “나는 죽은 친사씨의 생각은 이럴까라고 생각한 곳을 말했기 때문에, 그것을 하코씨가 나쁘다고 말한다면, 그 위와 어쨌든 말할 것도 없습니다만, 친좌 씨는 단단한 옛 바람 같은 신앙을 가진 분이니까, 타지마 씨의 학원은 전부터 귀엽네요…"
2190,再び,そして、なんの感じも起こさないうちに、熟睡からちょっと驚かされた赤児が、またたわいなく眠りに落ちて行くように、再び夢ともうつつともない心に返って行った。,"그리고 아무런 느낌도 일어나지 않는 사이에, 숙면에서 조금 놀란 적아가, 또 부끄럽게 잠들어 가도록(듯이), 다시 꿈과 더불어 마음속으로 돌아갔다."
2191,冷淡な,古藤は冷淡な調子で、「そういったようでしたね」と答えながら、何か他の事でも考えているらしかった。,"고토는 냉담한 상태로, 「그런 것 같았어요」라고 대답하면서, 뭔가 다른 일이라도 생각하고 있는 것 같았다."
2192,冷酷な,事務長の顔は振り返った葉子の顔に息気のかかるほどの近さで、葉子を見入っていたが、葉子が与えた冷酷なひとみには目もくれぬまで狂わしく熱していた。,"사무장의 얼굴은 되돌아 본 하코의 얼굴에 숨이 막힐 정도로 가까워서 하코를 바라보고 있었지만, 하코가 준 냉혹한 눈동자에는 눈도 주지 않을 때까지 미치게 뜨겁다."
2193,処分,あとの事はわたしどもがたしかに引き受けたから心配は無用にして、身をしめて妹さん方のしめしにもなるほどの奮発を頼みます……えゝと、財産のほうの処分はわたしと田中さんとで間違いなく固めるし、愛子さんと貞世さんのお世話は、五十川さん、あなたにお願いしようじゃありませんか、御迷惑ですが。,"나머지는 우리가 분명히 맡았기 때문에 걱정은 무용하게 하고, 몸을 짓고 여동생 분들의 시시도 될 정도의 분발을 부탁합니다… … 에와 재산 처분은 나와 타나카 씨와 확실히 굳게 하고, 아이코 씨와 사다세 씨의 신세는, 이토카와 씨, 당신에게 부탁하잖아요, 죄송합니다만."
2194,処置,しかし実際の処置としては、くやしくても虫を殺して、自分を葉子まで引き下げるか、葉子を自分まで引き上げるよりしかたがなかった。,"그러나 실제의 처치로서는, 힘들어도 벌레를 죽이고, 자신을 하자까지 끌어내리거나, 하자를 자신까지 끌어 올리는 것보다 어쩔 수 없었다."
2195,分別,興録は事務長の意向を読んで取ると、分別ぶった顔をさし出して、「それに限りますよ。,"흥록은 사무장의 의향을 읽고 취하면, 분별한 얼굴을 내밀어, 「그것에 한해요."
2196,切ない,葉子は吸い取られるようにその響きに心を集めていたが、この子もやがては自分が通って来たような道を歩くのかと思うと、自分をあわれむとも妹をあわれむとも知れない切ない心に先だたれて、思わずぎゅっと貞世を抱きしめながら物をいおうとした。,"하코는 빨아들일 수 있도록 그 울림에 마음을 모으고 있었지만, 이 아이 곧은 자신이 다니던 길을 걸을까 생각하면, 자신을 곁들여도 여동생을 깨닫는다고도 모르는 애틋한 마음에 앞서서, 무심코 굉장히 정세를 안아주면서 물건을 가리려고 했다."
2197,利子,女子教育とか、家庭の薫陶とかいう事をおりあるごとに口にしていた親佐は、その言葉に対して虚偽という利子を払わねばならなかった。,"여자 교육이라든가, 가정의 가오루도 하는 일을 하고 있을 때마다 입으로 하고 있던 친령은, 그 말에 대해 허위라는 이자를 지불해야 했다."
2198,利益,葉子はもとより夫人のあわてたこの処置が夫人には致命的な不利益であり、自分には都合のいい仕合わせであるのを知っていたからだ。,"하코는 물론 부인이 얽힌 이 처치가 부인에게는 치명적인 불이익이며, 자신에게는 편리한 매칭임을 알고 있었기 때문이다."
2199,動的な,すでに自分が勝ち味になっているという自覚は、葉子に反動的な寛大な心を与えて、夫人が事務長を※にしようとしている事などはてんで問題にはしまいとした。,"벌써 자신이 승리로 되어 있다는 자각은, 하코에게 반동적인 관대한 마음을 주고, 부인이 사무장을 ※로 하려고 하고 있는 일 등은 천천히 문제에 빠져버렸다."
2200,勘定,殉情的なくせに恐ろしく勘定高いのがたまらなかった。,순정적인 주제에 무서워 계정 높은 것이 견딜 수 없었다.
2201,勝利,そして母に対する勝利の分捕り品として、木部は葉子一人のものとなった。,"그리고 어머니에 대한 승리의 분포품으로서, 목부는 하코 한 명의 것이 되었다."
2202,募る,木部の葉子に対する愛着が募れば募るほど、葉子は一生が暗くなりまさるように思った。,"기부의 하코에 대한 애착이 모을수록, 모모코는 평생이 어두워지는 것 같았다."
2203,勢力,ことに親佐が仙台支部長として働き出したキリスト教婦人同盟の運動は、その当時野火のような勢いで全国に広がり始めた赤十字社の勢力にもおさおさ劣らない程の盛況を呈した。,이에 친령이 센다이 지부장으로 일했던 그리스도교부인 동맹의 운동은 그 당시 야화와 같은 기세로 전국에 퍼지기 시작한 적십자사의 세력에도 뒤처지지 않을 정도의 성황을 보였다.
2204,勤まる,資本入らずで大役が勤まるんだ。,자본 들어가지 않고 대역이 근무한다.
2205,卑しい,開港場のがさつな卑しい調子は、すぐ葉子の神経にびりびりと感じて来た。,개항장이 얽힌 비유한 상태는 바로 하자의 신경에 느긋하게 느껴 왔다.
2206,単調な,そして自分のからだがずっと高まってやがてまた落ちて行くなと思わしいころに、窓に近い舷にざあっとあたって砕けて行く波濤が、単調な底力のある震動を船室に与えて、船はかすかに横にかしいだ。,"그리고 자신의 몸이 계속 높아져 곧 다시 떨어지지 말라고 생각할 무렵에, 창문에 가까운 현에 쑤시고 부서져 가는 물결이, 단조로운 저력이 있는 진동을 선실에 주어, 배는 희미하게 옆에 뻔하다."
2207,占領,葉子を確実に占領したという意識に裏書きされた木部は、今までおくびにも葉子に見せなかった女々しい弱点を露骨に現わし始めた。,"하자를 확실히 점령했다는 의식으로 뒷받침된 목부는, 지금까지 하도에도 하코에게 보여주지 못했던 여성스러운 약점을 노골적으로 드러내기 시작했다."
2208,去る,早月母子が東京を去るとまもなく、ある新聞は早月ドクトルの女性に関するふしだらを書き立てて、それにつけての親佐の苦心と貞操とを吹聴したついでに、親佐が東京を去るようになったのは、熱烈な信仰から来る義憤と、愛児を父の悪感化から救おうとする母らしい努力に基づくものだ。,이른 달 모자가 도쿄를 떠나자 얼마 지나지 않아 한 신문은 이른 달 닥터의 여성에 관한 망설임을 써서 거기에 붙어 있는 친령의 고심과 정조를 청취한 뒤에 친령이 도쿄를 떠나게 된 것은 열렬한 신앙에서 오는 의분과 감정을 바탕으로 애화를 아버지.
2209,反感,葉子自身が行き得ないほど葉子に対して反感を持っている永田が、あの単純なタクトのない古藤をどんなふうに扱ったろう。,"하코 자신이 갈 수 없을 정도로 하코에 대해 반감을 가지고 있는 나가타가, 그 단순한 택트가 없는 고토를 어떤 식으로 취급했을까."
2210,取り入れる,母は新しい型にわが子を取り入れることを心得てはいたが、それを取り扱う術は知らなかった。,"어머니는 새로운 형에 우리 아이를 도입하는 것을 마음껏 했지만, 그것을 취급하는 방법은 몰랐다."
2211,取り扱う,母は新しい型にわが子を取り入れることを心得てはいたが、それを取り扱う術は知らなかった。,"어머니는 새로운 형에 우리 아이를 도입하는 것을 마음껏 했지만, 그것을 취급하는 방법은 몰랐다."
