word,example_jp,example_ko,source
だぶだぶ,借りた上着はだぶだぶで、面接にはふさわしくなかった。,빌린 윗옷은 헐렁해서 면접에는 어울리지 않았다.,generated_n1_review_batch_001
ちやほや,若いうちから周囲にちやほやされると、努力を怠りがちだ。,젊을 때부터 주변에서 떠받들면 노력을 게을리하기 쉽다.,generated_n1_review_batch_001
ちょくちょく,彼は出張の合間にも、ちょくちょく実家に顔を出す。,그는 출장 틈틈이 자주 본가에 들른다.,generated_n1_review_batch_001
つくづく,今回の件で、確認作業の大切さをつくづく感じた。,이번 일로 확인 작업의 중요성을 절실히 느꼈다.,generated_n1_review_batch_001
つぶらな,子どものつぶらな瞳に見つめられ、断ることができなかった。,아이의 동그란 눈망울을 보고 거절할 수 없었다.,generated_n1_review_batch_001
てきぱきと,彼女は複雑な手続きをてきぱきと処理していった。,그녀는 복잡한 절차를 척척 처리해 나갔다.,generated_n1_review_batch_001
てっきり,彼は来るものとてっきり思っていたが、実際には欠席だった。,그가 올 것이라고 틀림없이 생각했지만 실제로는 결석이었다.,generated_n1_review_batch_001
でかい,この計画は規模がでかいだけに、失敗した時の損失も大きい。,이 계획은 규모가 큰 만큼 실패했을 때의 손실도 크다.,generated_n1_review_batch_001
はかない,一時的な人気ははかなく、すぐに別の商品へ関心が移った。,일시적인 인기는 덧없어 곧 다른 상품으로 관심이 옮겨갔다.,generated_n1_review_batch_001
はなはだしい,彼の発言は事実と異なる点がはなはだしい。,그의 발언은 사실과 다른 점이 매우 심하다.,generated_n1_review_batch_001
ひしひし,現場の人手不足の深刻さがひしひしと伝わってきた。,현장의 인력 부족이 얼마나 심각한지 절실히 전해졌다.,generated_n1_review_batch_001
ひんやり,地下室に入ると、空気がひんやりしていた。,지하실에 들어가자 공기가 서늘했다.,generated_n1_review_batch_001
びっしょり,突然の雨で、資料も服もびっしょり濡れてしまった。,갑작스러운 비로 자료도 옷도 흠뻑 젖어 버렸다.,generated_n1_review_batch_001
ふらふら,熱が下がらず、彼はふらふらしながら駅まで歩いた。,열이 내리지 않아 그는 비틀거리며 역까지 걸었다.,generated_n1_review_batch_001
