word,reading_hiragana,meaning_ko,example_jp,example_ko
促す,うながす,촉구하다,政府は企業に対し、賃上げを促す方針を示した。,정부는 기업에 임금 인상을 촉구하는 방침을 보였다.
埋める,うめる,메우다,人手不足を埋めるため、臨時の職員を採用した。,일손 부족을 메우기 위해 임시 직원을 채용했다.
恨む,うらむ,원망하다,失敗を人のせいにして恨むだけでは前に進めない。,실패를 남 탓으로 돌리고 원망하기만 해서는 앞으로 나아갈 수 없다.
占う,うらなう,점치다,専門家は市場の動向から景気の先行きを占う。,전문가는 시장 동향으로 경기의 앞날을 점친다.
描く,えがく,그리다,この小説は戦後の社会を鋭く描く作品だ。,이 소설은 전후 사회를 날카롭게 그린 작품이다.
補う,おぎなう,보완하다,経験の不足は、事前の準備で補うしかない。,경험 부족은 사전 준비로 보완할 수밖에 없다.
脅かす,おびやかす,위협하다,急激な物価上昇は市民生活を脅かす。,급격한 물가 상승은 시민 생활을 위협한다.
怯える,おびえる,겁먹다,子どもは大きな音に怯えるように母親の後ろへ隠れた。,아이는 큰 소리에 겁먹은 듯 어머니 뒤로 숨었다.
省みる,かえりみる,돌아보다,過去の失敗を省みる姿勢が、次の改善につながる。,과거의 실패를 돌아보는 자세가 다음 개선으로 이어진다.
掲げる,かかげる,내걸다,会社は環境保護を重要な目標として掲げる。,회사는 환경 보호를 중요한 목표로 내건다.
関わる,かかわる,관련되다,この問題は地域全体の将来に関わる。,이 문제는 지역 전체의 장래와 관련된다.
限る,かぎる,한정하다,参加者を学生に限る理由を明確に説明する必要がある。,참가자를 학생으로 한정하는 이유를 명확히 설명할 필요가 있다.
囲む,かこむ,둘러싸다,記者たちは会見後に大臣を囲むように質問を続けた。,기자들은 회견 뒤 장관을 둘러싸듯 질문을 이어 갔다.
傾く,かたむく,기울다,一方の意見に傾く前に、資料を公平に確認したい。,한쪽 의견으로 기울기 전에 자료를 공정하게 확인하고 싶다.
兼ねる,かねる,겸하다,この建物は図書館と市民ホールを兼ねる施設だ。,이 건물은 도서관과 시민 홀이 겸해진 시설이다.
庇う,かばう,감싸다,彼は部下の失敗を庇うように自分の責任を認めた。,그는 부하의 실패를 감싸듯 자신의 책임을 인정했다.
構える,かまえる,자세를 취하다,面接では必要以上に構えるより、自然に話す方がよい。,면접에서는 필요 이상으로 자세를 잡기보다 자연스럽게 말하는 편이 좋다.
砕く,くだく,부수다,難しい理論を砕くように説明すると、学生にも伝わりやすい。,어려운 이론을 풀어 설명하면 학생에게도 전달되기 쉽다.
下す,くだす,내리다,裁判所は慎重な審理の末に判決を下す。,법원은 신중한 심리 끝에 판결을 내린다.
覆る,くつがえる,뒤집히다,新しい証拠によって、これまでの見方が覆る可能性がある。,새로운 증거로 지금까지의 견해가 뒤집힐 가능성이 있다.
加わる,くわわる,더해지다,新しい委員が加わることで、議論に幅が出た。,새 위원이 더해지면서 논의에 폭이 생겼다.
凝る,こる,열중하다,彼は細部の表現に凝るあまり、締め切りを忘れかけた。,그는 세부 표현에 열중한 나머지 마감일을 잊을 뻔했다.
遮る,さえぎる,가로막다,発言の途中で相手の話を遮るのは失礼だ。,발언 도중 상대의 말을 가로막는 것은 실례다.
逆らう,さからう,거스르다,時代の流れに逆らうだけでは、解決策は見えてこない。,시대의 흐름을 거스르기만 해서는 해결책이 보이지 않는다.
探る,さぐる,살피다,調査班は事故の原因を探るために現場へ向かった。,조사반은 사고 원인을 살피기 위해 현장으로 향했다.
悟る,さとる,깨닫다,彼は失敗を通して、準備の重要性を悟る。,그는 실패를 통해 준비의 중요성을 깨닫는다.
妨げる,さまたげる,방해하다,過度な規制は新しい事業の成長を妨げる。,과도한 규제는 새로운 사업의 성장을 방해한다.
絞る,しぼる,짜내다,候補を三つに絞ることで、議論が進めやすくなった。,후보를 셋으로 좁히자 논의를 진행하기 쉬워졌다.
染みる,しみる,스며들다,彼の言葉は時間がたつほど胸に染みる。,그의 말은 시간이 지날수록 가슴에 스며든다.
退く,しりぞく,물러나다,責任を取って役職を退くという選択もある。,책임을 지고 직책에서 물러난다는 선택도 있다.
据える,すえる,놓다,政府は教育改革を政策の中心に据える方針だ。,정부는 교육 개혁을 정책의 중심에 놓을 방침이다.
備わる,そなわる,갖추어지다,この制度には不正を防ぐ仕組みが備わる必要がある。,이 제도에는 부정을 막는 장치가 갖추어질 필요가 있다.
漂う,ただよう,떠돌다,会場には緊張した空気が漂う。,회장에는 긴장된 분위기가 감돈다.
貯める,ためる,모으다,将来に備えて少しずつ資金を貯める。,장래에 대비해 조금씩 자금을 모은다.
費やす,ついやす,소비하다,彼は研究のために多くの時間を費やす。,그는 연구를 위해 많은 시간을 소비한다.
途絶える,とだえる,끊기다,大雪の影響で、山間部との連絡が途絶える恐れがある。,폭설의 영향으로 산간부와의 연락이 끊길 우려가 있다.
整う,ととのう,갖추어지다,準備が整うまで、発表は延期された。,준비가 갖추어질 때까지 발표는 연기되었다.
悩ます,なやます,괴롭히다,騒音問題は長年住民を悩ます原因になっている。,소음 문제는 오랫동안 주민을 괴롭히는 원인이 되고 있다.
握る,にぎる,쥐다,交渉の鍵を握るのは、双方の譲歩だ。,협상의 열쇠를 쥐고 있는 것은 양측의 양보이다.
臨む,のぞむ,임하다,試験には落ち着いた気持ちで臨むことが大切だ。,시험에는 차분한 마음으로 임하는 것이 중요하다.
弾む,はずむ,들뜨다,久しぶりの再会で、自然と会話が弾む。,오랜만의 재회로 자연스럽게 대화가 활기를 띤다.
阻む,はばむ,가로막다,資金不足が計画の実現を阻む最大の要因だ。,자금 부족이 계획 실현을 가로막는 가장 큰 요인이다.
控える,ひかえる,삼가다,公式発表までは詳しい発言を控えるべきだ。,공식 발표 전까지는 자세한 발언을 삼가야 한다.
浸る,ひたる,잠기다,彼は成功の余韻に浸る間もなく、次の課題に取りかかった。,그는 성공의 여운에 잠길 틈도 없이 다음 과제에 착수했다.
翻す,ひるがえす,뒤집다,首相は批判を受けて、従来の方針を翻すことになった。,총리는 비판을 받고 기존 방침을 뒤집게 되었다.
膨らむ,ふくらむ,부풀다,計画への期待は発表後さらに膨らむ。,계획에 대한 기대는 발표 후 더욱 부푼다.
隔てる,へだてる,사이를 두다,両国を隔てる海は、交流の障壁ではなくなりつつある。,양국 사이에 놓인 바다는 교류의 장벽이 아니게 되고 있다.
滅びる,ほろびる,멸망하다,言語は使う人がいなくなれば滅びる可能性がある。,언어는 사용하는 사람이 없어지면 멸망할 가능성이 있다.
紛らわす,まぎらわす,얼버무리다,彼は不安を紛らわすために音楽を聞いた。,그는 불안을 달래기 위해 음악을 들었다.
交える,まじえる,섞다,専門家の意見を交えることで、議論はより具体的になった。,전문가의 의견을 섞으면서 논의는 더 구체적이 되었다.
報いる,むくいる,보답하다,支援してくれた人々に報いるため、彼は成果を出そうと努力した。,지원해 준 사람들에게 보답하기 위해 그는 성과를 내려고 노력했다.
芽生える,めばえる,싹트다,交流を重ねるうちに、互いへの信頼が芽生える。,교류를 거듭하는 사이 서로에 대한 신뢰가 싹튼다.
設ける,もうける,마련하다,利用者の声を聞くため、意見交換の場を設ける。,이용자의 목소리를 듣기 위해 의견 교환의 장을 마련한다.
漏らす,もらす,누설하다,関係者は会議の内容を外部に漏らすべきではない。,관계자는 회의 내용을 외부에 누설해서는 안 된다.
緩む,ゆるむ,느슨해지다,警戒が緩むと、同じ失敗を繰り返す恐れがある。,경계가 느슨해지면 같은 실패를 반복할 우려가 있다.
装う,よそおう,꾸미다,彼は平静を装うが、内心では焦っていた。,그는 태연한 척하지만 속으로는 초조해하고 있었다.
蘇る,よみがえる,되살아나다,古い写真を見ると、当時の記憶が鮮やかに蘇る。,오래된 사진을 보면 당시의 기억이 선명하게 되살아난다.
詫びる,わびる,사과하다,会社は利用者に迷惑をかけたことを正式に詫びる。,회사는 이용자에게 폐를 끼친 일을 공식적으로 사과한다.
