word,reading_hiragana,meaning_ko,example_jp,example_ko
定める,さだめる,정하다,法律で必要な手続きを定める。,법률로 필요한 절차를 정한다.
彷徨う,さまよう,헤매다,彼は答えを求めて長く彷徨うことになった。,그는 답을 찾아 오랫동안 헤매게 되었다.
仕切る,しきる,주도하다,経験豊富な彼女が会議を仕切る。,경험 많은 그녀가 회의를 주도한다.
沈む,しずむ,가라앉다,船はゆっくりと海に沈む。,배는 천천히 바다에 가라앉는다.
沈める,しずめる,가라앉히다,深呼吸をして気持ちを沈める。,심호흡을 하며 마음을 가라앉힌다.
従う,したがう,따르다,参加者は係員の指示に従う必要がある。,참가자는 담당자의 지시에 따라야 한다.
従える,したがえる,거느리다,彼は多くの部下を従える立場になった。,그는 많은 부하를 거느리는 위치가 되었다.
凌ぐ,しのぐ,견디다,厳しい寒さを凌ぐために火を起こした。,혹독한 추위를 견디기 위해 불을 피웠다.
忍ぶ,しのぶ,참다,彼女は悲しみを忍ぶように黙っていた。,그녀는 슬픔을 참는 듯 말없이 있었다.
絞り込む,しぼりこむ,좁히다,条件を絞り込むと候補は三つになった。,조건을 좁히자 후보는 세 개가 되었다.
退ける,しりぞける,물리치다,彼は不当な要求をきっぱり退ける。,그는 부당한 요구를 단호히 물리친다.
廃る,すたる,쇠퇴하다,古い習慣が次第に廃る。,오래된 관습이 점차 쇠퇴한다.
進み出る,すすみでる,나서다,誰も答えない中で彼が進み出る。,아무도 답하지 않는 가운데 그가 나선다.
添える,そえる,덧붙이다,贈り物に短い手紙を添える。,선물에 짧은 편지를 덧붙인다.
損ねる,そこねる,해치다,不用意な一言が相手の気分を損ねる。,부주의한 한마디가 상대의 기분을 해친다.
聳える,そびえる,솟다,町の中心に高い塔が聳える。,마을 중심에 높은 탑이 솟아 있다.
備える,そなえる,대비하다,災害に備える準備を進める。,재해에 대비하는 준비를 진행한다.
高まる,たかまる,높아지다,新制度への期待が高まる。,새 제도에 대한 기대가 높아진다.
高める,たかめる,높이다,練習を重ねて集中力を高める。,연습을 거듭해 집중력을 높인다.
断つ,たつ,끊다,悪い習慣を断つには強い意志がいる。,나쁜 습관을 끊으려면 강한 의지가 필요하다.
絶つ,たつ,끊다,連絡を絶つ前に事情を説明すべきだった。,연락을 끊기 전에 사정을 설명했어야 했다.
達する,たっする,도달하다,売上は過去最高に達する見込みだ。,매출은 역대 최고에 도달할 전망이다.
携える,たずさえる,휴대하다,彼は必要な資料を携える。,그는 필요한 자료를 지닌다.
保つ,たもつ,유지하다,健康を保つために睡眠を重視する。,건강을 유지하기 위해 수면을 중시한다.
突き止める,つきとめる,밝혀내다,調査によって原因を突き止める。,조사를 통해 원인을 밝혀낸다.
突く,つく,찌르다,彼の質問は問題の核心を突くものだった。,그의 질문은 문제의 핵심을 찌르는 것이었다.
告げる,つげる,알리다,鐘の音が昼の始まりを告げる。,종소리가 낮의 시작을 알린다.
償う,つぐなう,보상하다,過ちを償うために彼は行動を改めた。,잘못을 보상하기 위해 그는 행동을 고쳤다.
勤まる,つとまる,감당되다,この仕事は責任感がなければ勤まるものではない。,이 일은 책임감이 없으면 감당할 수 있는 것이 아니다.
綴る,つづる,엮어 쓰다,旅の記憶を日記に綴る。,여행의 기억을 일기에 엮어 쓴다.
摘む,つまむ,집다,皿から菓子を一つ摘む。,접시에서 과자를 하나 집는다.
釣り合う,つりあう,균형이 맞다,収入と支出が釣り合うように調整する。,수입과 지출이 균형이 맞도록 조정한다.
照らす,てらす,비추다,月明かりが道を照らす。,달빛이 길을 비춘다.
問う,とう,묻다,社会のあり方を問う作品として注目された。,사회의 모습을 묻는 작품으로 주목받았다.
遠ざかる,とおざかる,멀어지다,駅の明かりが少しずつ遠ざかる。,역의 불빛이 조금씩 멀어진다.
遠ざける,とおざける,멀리하다,不安を遠ざけるために深呼吸をした。,불안을 멀리하기 위해 심호흡을 했다.
閉ざす,とざす,닫다,雪が村への道を閉ざす。,눈이 마을로 가는 길을 닫아 버린다.
捕らえる,とらえる,붙잡다,警察は逃げた男を捕らえる。,경찰은 도망친 남자를 붙잡는다.
取り巻く,とりまく,둘러싸다,会社を取り巻く環境は急速に変化している。,회사를 둘러싼 환경은 급속히 변하고 있다.
取り締まる,とりしまる,단속하다,警察は違法駐車を取り締まる。,경찰은 불법 주차를 단속한다.
取り調べる,とりしらべる,조사하다,担当者が関係者を取り調べる。,담당자가 관계자를 조사한다.
取り替える,とりかえる,교체하다,古い部品を新しいものに取り替える。,오래된 부품을 새것으로 교체한다.
取り入れる,とりいれる,받아들이다,外部の意見を積極的に取り入れる。,외부 의견을 적극적으로 받아들인다.
取り消す,とりけす,취소하다,悪天候のため予定を取り消す。,악천후 때문에 예정을 취소한다.
取り残す,とりのこす,남겨두다,急な変化が一部の人を取り残す。,급격한 변화가 일부 사람을 남겨둔다.
取り払う,とりはらう,제거하다,不安を取り払う説明が必要だ。,불안을 제거할 설명이 필요하다.
懐く,なつく,따르다,子どもはすぐに新しい先生に懐く。,아이는 곧 새 선생님을 따른다.
名乗る,なのる,이름을 대다,彼は受付で名前を名乗る。,그는 접수처에서 이름을 댄다.
成し遂げる,なしとげる,완수하다,困難な計画を最後まで成し遂げる。,어려운 계획을 끝까지 완수한다.
鈍る,にぶる,둔해지다,疲れると判断力が鈍る。,피곤하면 판단력이 둔해진다.
睨む,にらむ,노려보다,彼は資料の数字をじっと睨む。,그는 자료의 숫자를 가만히 노려본다.
抜け出す,ぬけだす,빠져나오다,危機的な状況から抜け出す方法を探る。,위기 상황에서 빠져나올 방법을 모색한다.
練り直す,ねりなおす,다시 다듬다,計画を一から練り直すことにした。,계획을 처음부터 다시 다듬기로 했다.
逃れる,のがれる,벗어나다,責任を逃れることはできない。,책임에서 벗어날 수는 없다.
乗り越える,のりこえる,극복하다,困難を乗り越える経験が自信になる。,어려움을 극복한 경험이 자신감이 된다.
張り詰める,はりつめる,팽팽해지다,会場には張り詰める空気が漂っていた。,회장에는 팽팽한 공기가 감돌고 있었다.
